{\rtf1\ansi\ansicpg1252\cocoartf1671\cocoasubrtf400
{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww28600\viewh15460\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs24 \cf0 PRICE , ROOMS, SIZE, ADDRESS, NUMBER , LAT, LON
\pard\pardeftab720\partightenfactor0
1355,4,63,Fuchsenstrasse,63,47.433607,9.409611
1355,2.5,73,Tablatstrasse,73,47.434042,9.417027
1390,3.5,00,Reherstrasse,22,47.436264,9.417597
1390,1.5,78,Vogelherdstrasse,78,47.436094,9.422371
1400,3.5,80,Achslenstrasse,80,47.432086,9.409743
1400,3.5,78,Achslenstrasse,78,47.432086,9.409743
1430,2.5,73,Tablatstrasse,73,47.434042,9.417027
1490,3.5,80,Gruenaustrasse,80,47.435862,9.404384
1545,3.5,97,Zilstrasse,97,47.44285,9.41254
1660,4.5,99,Tablatstrasse,99,47.434042,9.417027
1780,3.5,88,Favrestrasse,88,47.434042,9.417027
1880,3.5,122,Rorschacherstrasse,122,47.430584,9.392857
2035,4.5,90,Achslenstrasse,90,47.432086,9.409743
2090,4.5,115,Lukasstrasse,115,47.43748,9.404842
